timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/24 20:03:49.753, NVIDIA A800 80GB PCIe, 99 %, 24 %, 19239 MiB, 81920 MiB, 284.59 W
2026/08/24 20:03:50.753, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 296.33 W
2026/08/24 20:03:51.753, NVIDIA A800 80GB PCIe, 99 %, 25 %, 19239 MiB, 81920 MiB, 316.93 W
2026/08/24 20:03:52.753, NVIDIA A800 80GB PCIe, 97 %, 19 %, 19239 MiB, 81920 MiB, 293.59 W
2026/08/24 20:03:53.754, NVIDIA A800 80GB PCIe, 99 %, 25 %, 19239 MiB, 81920 MiB, 289.88 W
2026/08/24 20:03:54.754, NVIDIA A800 80GB PCIe, 99 %, 19 %, 19239 MiB, 81920 MiB, 288.83 W
2026/08/24 20:03:55.754, NVIDIA A800 80GB PCIe, 98 %, 24 %, 19239 MiB, 81920 MiB, 307.04 W
2026/08/24 20:03:56.754, NVIDIA A800 80GB PCIe, 99 %, 20 %, 19239 MiB, 81920 MiB, 308.55 W
2026/08/24 20:03:57.754, NVIDIA A800 80GB PCIe, 98 %, 25 %, 19239 MiB, 81920 MiB, 305.10 W
2026/08/24 20:03:58.754, NVIDIA A800 80GB PCIe, 97 %, 20 %, 19239 MiB, 81920 MiB, 301.42 W
2026/08/24 20:03:59.754, NVIDIA A800 80GB PCIe, 99 %, 22 %, 19239 MiB, 81920 MiB, 280.91 W
2026/08/24 20:04:00.755, NVIDIA A800 80GB PCIe, 98 %, 20 %, 19239 MiB, 81920 MiB, 292.94 W
2026/08/24 20:04:01.755, NVIDIA A800 80GB PCIe, 99 %, 23 %, 19239 MiB, 81920 MiB, 308.33 W
2026/08/24 20:04:02.755, NVIDIA A800 80GB PCIe, 98 %, 20 %, 19239 MiB, 81920 MiB, 315.95 W
